driverID,carPlateNumber,unix_Time,Speed,isOverspeed
xiexiao1000001,华AEB132,1484064700,106.0,0
xiexiao1000001,华AEB132,1484065490,84.0,0
xiexiao1000001,华AEB132,1484067370,89.0,0
xiexiao1000001,华AEB132,1484069490,89.0,0
xiexiao1000001,华AEB132,1484072116,126.0,1
xiexiao1000001,华AEB132,1484072730,103.0,0
xiexiao1000001,华AEB132,1484073700,104.0,0
xiexiao1000001,华AEB132,1484073710,75.0,0
xiexiao1000001,华AEB132,1484074790,98.0,0
xiexiao1000001,华AEB132,1484078510,74.0,0
xiexiao1000001,华AEB132,1484079650,67.0,0
xiexiao1000001,华AEB132,1484080750,78.0,0
xiexiao1000001,华AEB132,1484081620,116.0,0
xiexiao1000001,华AEB132,1484083400,117.0,0
xiexiao1000001,华AEB132,1484083470,100.0,0
xiexiao1000001,华AEB132,1484064110,68.0,0
xiexiao1000001,华AEB132,1484065960,67.0,0
xiexiao1000001,华AEB132,1484066880,119.0,0
xiexiao1000001,华AEB132,1484067800,68.0,0
xiexiao1000001,华AEB132,1484070380,119.0,0
xiexiao1000001,华AEB132,1484072065,72.0,0
xiexiao1000001,华AEB132,1484073100,93.0,0
xiexiao1000001,华AEB132,1484073490,140.0,0
xiexiao1000001,华AEB132,1484074040,67.0,0
xiexiao1000001,华AEB132,1484074702,61.0,0
xiexiao1000001,华AEB132,1484075900,110.0,0
xiexiao1000001,华AEB132,1484077160,143.0,0
xiexiao1000001,华AEB132,1484077213,145.0,1
xiexiao1000001,华AEB132,1484077240,111.0,0
xiexiao1000001,华AEB132,1484077990,99.0,0
xiexiao1000001,华AEB132,1484080060,71.0,0
xiexiao1000001,华AEB132,1484080770,76.0,0
xiexiao1000001,华AEB132,1484083530,101.0,0
xiexiao1000001,华AEB132,1484064980,86.0,0
xiexiao1000001,华AEB132,1484067520,108.0,0
xiexiao1000001,华AEB132,1484069240,117.0,0
xiexiao1000001,华AEB132,1484069839,114.0,0
xiexiao1000001,华AEB132,1484070670,73.0,0
xiexiao1000001,华AEB132,1484071970,75.0,0
xiexiao1000001,华AEB132,1484072280,114.0,0
xiexiao1000001,华AEB132,1484072854,130.0,1
xiexiao1000001,华AEB132,1484073084,124.0,1
xiexiao1000001,华AEB132,1484073390,99.0,0
xiexiao1000001,华AEB132,1484073610,72.0,0
xiexiao1000001,华AEB132,1484075850,70.0,0
xiexiao1000001,华AEB132,1484077740,132.0,0
xiexiao1000001,华AEB132,1484078502,120.0,0
xiexiao1000001,华AEB132,1484078625,120.0,1
xiexiao1000001,华AEB132,1484079423,127.0,1
xiexiao1000001,华AEB132,1484081731,120.0,0
xiexiao1000001,华AEB132,1484082546,120.0,0
xiexiao1000001,华AEB132,1484083680,63.0,0
xiexiao1000001,华AEB132,1484064370,124.0,0
xiexiao1000001,华AEB132,1484065750,90.0,0
xiexiao1000001,华AEB132,1484069300,86.0,0
xiexiao1000001,华AEB132,1484072430,109.0,0
xiexiao1000001,华AEB132,1484072550,104.0,0
xiexiao1000001,华AEB132,1484073540,127.0,0
xiexiao1000001,华AEB132,1484076199,143.0,1
xiexiao1000001,华AEB132,1484076383,120.0,0
xiexiao1000001,华AEB132,1484076410,109.0,0
